id,timestamp,text,searchQuery,clean_content
1838339304734757003,2024-09-23 22:06:00+00:00,"Speed visited four more countries before landing in Indonesia where his broadcast exploded to over 1,000,000 live viewers, prompting him to burst out in tears.

🔗dexerto.com/youtube/ishowspe…",speed in Indonesia ,"Speed visited four more countries before landing in Indonesia where his broadcast exploded to over 1000000 live viewers prompting him to burst out in tears

dexertocomyoutubeishowspe"
1838254071406305506,2024-09-23 16:28:00+00:00,Speed is in Indonesia ?,speed in Indonesia ,Speed is in Indonesia 
1838256357407117801,2024-09-23 16:37:00+00:00,Speed supposed to go to west Papua but got denied.. because the indonesian goverment are commiting silent genocide towards black people in Papua.. so they dont want speed to visit there because it will destroy indonesia’s reputation,speed in Indonesia ,Speed supposed to go to west Papua but got denied because the indonesian goverment are commiting silent genocide towards black people in Papua so they dont want speed to visit there because it will destroy indonesias reputation
1838321385736683960,2024-09-23 20:55:00+00:00,They doing speed memes now in Indonesia 💀,speed in Indonesia ,They doing speed memes now in Indonesia 
1838209072744579340,2024-09-23 13:29:00+00:00,Speed runs into two women in a store saying Batik is from Indonesia not Malaysia,speed in Indonesia ,Speed runs into two women in a store saying Batik is from Indonesia not Malaysia
1838210486015582528,2024-09-23 13:35:00+00:00,Speed really said “Santai” in Cambodia bro has been in Indonesia for too long,speed in Indonesia ,Speed really said Santai in Cambodia bro has been in Indonesia for too long
1838244478722953674,2024-09-23 15:50:00+00:00,"speed is going to reveal indonesia's oppression in west papua, go off king",speed in Indonesia ,speed is going to reveal indonesias oppression in west papua go off king
1838220514495778911,2024-09-23 14:14:00+00:00,"Papua Province are in Indonesia, known as West Papua, both in Indonesia. But Papua New Guinea are a different country, or be called as East Papua. I hope speed can visit Papua.",speed in Indonesia ,Papua Province are in Indonesia known as West Papua both in Indonesia But Papua New Guinea are a different country or be called as East Papua I hope speed can visit Papua
1838230536101548062,2024-09-23 14:54:00+00:00,"bro, where were u when speed stepping his feet in indonesia???, didn't u have intention to help him promote ur local culture n ur tourism attractions to locals, lend ur free tix to papua now dear mas sandi",speed in Indonesia ,bro where were u when speed stepping his feet in indonesia didnt u have intention to help him promote ur local culture n ur tourism attractions to locals lend ur free tix to papua now dear mas sandi
1838201080145989720,2024-09-23 12:57:00+00:00,"There are 3 streams in Indonesia that are in the top 10 with the most viewers on YouTube 😭🇮🇩🙏 !!!

Like and Retweet you are from
Indonesia 🇮🇩!!!!

W INDONESIA 🇮🇩🫶🏻

#IShowSpeed #Speed",speed in Indonesia ,"There are 3 streams in Indonesia that are in the top 10 with the most viewers on YouTube  

Like and Retweet you are from
Indonesia 

W INDONESIA 

IShowSpeed Speed"
1838188643367743988,2024-09-23 12:08:00+00:00,"🚨 Speed said : 

If he wants to stream (part 4) in Indonesia, he'll need a private jet ✈️. 

Who's willing to rent him one?

Jetpri di Indonesia kan banyak ya.😭🇮🇩

#Papua #IshowSpeed #Jet #Cambodia #Indonesia",speed in Indonesia ," Speed said  

If he wants to stream part 4 in Indonesia hell need a private jet  

Whos willing to rent him one

Jetpri di Indonesia kan banyak ya

Papua IshowSpeed Jet Cambodia Indonesia"
1838156606934040631,2024-09-23 10:01:00+00:00,"Speed really said “Santai” in Cambodia 🇮🇩🇰🇭😭
 
But “Santai “word is used in Indonesia 🇮🇩😭

Bro forgot he is in Cambodia 🇰🇭😭

#IShowSpeed #Speed",speed in Indonesia ,"Speed really said Santai in Cambodia 
 
But Santai word is used in Indonesia 

Bro forgot he is in Cambodia 

IShowSpeed Speed"
1838154823637557473,2024-09-23 09:53:00+00:00,"Speed got twin in Indonesia🇮🇩😭!!

W*F is Happening chat!!!!

#IShowSpeed #Speed",speed in Indonesia ,"Speed got twin in Indonesia

WF is Happening chat

IShowSpeed Speed"
1838204643991859599,2024-09-23 13:11:00+00:00,meme speed in indonesia,speed in Indonesia ,meme speed in indonesia
1838150062708306346,2024-09-23 09:35:00+00:00,"Speed really said “Santai” in Cambodia 🇰🇭

Santai"" in Indonesian means ""relaxed""  It's often used to describe a laid-back or easygoing attitude. Bro has been in Indonesia for too long🇮🇩",speed in Indonesia ,"Speed really said Santai in Cambodia 

Santai in Indonesian means relaxed  Its often used to describe a laidback or easygoing attitude Bro has been in Indonesia for too long"
1838153221329551819,2024-09-23 09:47:00+00:00,Speed in Indonesia trip!!!,speed in Indonesia ,Speed in Indonesia trip
